Peak,0h,2h,4h,6h,8h,10h,12h,14h,16h,18h,20h,22h,24h
111,0.3117,0.3038,0.2905,0.2131,0.0845,0.0716,0.0707,0.0688,0.0688,0.0675,0.0679,0.0711,0.0692
200,0.6059,0.5776,0.5419,0.3381,0.1284,0.1019,0.0977,0.0953,0.0959,0.0942,0.0923,0.0955,0.0935
220,0.7054,0.6446,0.4912,0.1129,0.0922,0.0901,0.088,0.0881,0.0874,0.0892,0.0866,0.0895,0.0867
