Peak,0h,2h,4h,6h,8h,10h,12h,14h,16h,18h,20h,22h,24h
111,0.3058,0.3007,0.2883,0.2337,0.0906,0.0722,0.0677,0.0659,0.0655,0.0657,0.0654,0.0651,0.065
200,0.5551,0.5464,0.5318,0.3485,0.1203,0.0949,0.0919,0.0917,0.0897,0.0917,0.0909,0.0902,0.09
220,0.6203,0.6098,0.4669,0.1247,0.0948,0.0887,0.0879,0.0876,0.0894,0.0861,0.0869,0.0859,0.0864
