Peak,0h,2h,4h,6h,8h,10h,12h,14h,16h,18h,20h,22h,24h
111,0.3063,0.2994,0.2908,0.2446,0.1852,0.077,0.069,0.0714,0.0707,0.0704,0.0713,0.07,0.0706
200,0.5622,0.5545,0.5044,0.3962,0.2297,0.1035,0.0938,0.0947,0.0952,0.0945,0.0953,0.091,0.091
220,0.6591,0.6119,0.4885,0.1574,0.0985,0.0908,0.089,0.0921,0.0915,0.0908,0.0912,0.0895,0.0902
